Pk_Tournament;Player Name;Tournament Name;Round Reached;Matches Played;Points Earned;PrizePoll;categorie;country;Matches Won
20;Alejandra Alonso;Dubai Premier Padel P1;Round of 32;2;45;470000.00;P1;UAE;1
21;Andrea Ustero;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
22;Carla Mesa;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
23;Lorena Rufo;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
24;Nela Brito;Dubai Premier Padel P1;Quarterfinals;4;180;470000.00;P1;UAE;3
25;Alix Collombon;Dubai Premier Padel P1;Round of 64;1;20;470000.00;P1;UAE;0
26;Victoria Iglesias;Dubai Premier Padel P1;Round of 64;1;20;470000.00;P1;UAE;0
27;Noa Canovas;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
28;Giorgia Marchetti;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
29;Isabel Dominguez;Dubai Premier Padel P1;Round of 32;2;45;470000.00;P1;UAE;1
30;Jimena Velasco;Dubai Premier Padel P1;Round of 32;2;45;470000.00;P1;UAE;1
31;Manuela Schuck;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
32;Teresa Navarro;Dubai Premier Padel P1;Round of 16;3;90;470000.00;P1;UAE;2
33;Ariana Sanchez;Acapulco Premier Padel P1;Winner;6;1000;470000.00;P1;Mexico;6
34;Paula Josemaria;Acapulco Premier Padel P1;Winner;6;1000;470000.00;P1;Mexico;6
35;Delfina Brea;Acapulco Premier Padel P1;Final;6;600;470000.00;P1;Mexico;5
36;Sara Ruiz;Acapulco Premier Padel P1;Final;6;600;470000.00;P1;Mexico;5
37;Jessica Castello;Acapulco Premier Padel P1;Semifinals;5;360;470000.00;P1;Mexico;4
38;Veronica Virseda;Acapulco Premier Padel P1;Semifinals;5;360;470000.00;P1;Mexico;4
39;Claudia Jensen;Acapulco Premier Padel P1;Semifinals;5;360;470000.00;P1;Mexico;4
40;Tamara Icardo;Acapulco Premier Padel P1;Semifinals;5;360;470000.00;P1;Mexico;4
41;Mapi Sanchez Alayeto;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
42;Gemma Triay;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
43;Lorena Rufo;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
44;Nela Brito;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
45;Bea Gonzalez;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
46;Claudia Fernandez;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
47;Marta Ortega;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
48;Lucia Sainz;Acapulco Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Mexico;3
49;Isabel Dominguez;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
50;Alejandra Alonso;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
51;Giorgia Marchetti;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
52;Andrea Ustero;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
53;Sofia Araujo;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
54;Noa Canovas;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
55;Aranzazu Osoro;Acapulco Premier Padel P1;Round of 32;2;45;470000.00;P1;Mexico;1
56;Ana Catarina Nogueira;Acapulco Premier Padel P1;Round of 32;2;45;470000.00;P1;Mexico;1
57;Manuela Schuck;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
58;Carolina Navarro;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
59;Julieta Bidahorria;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
60;Teresa Navarro;Acapulco Premier Padel P1;Round of 16;3;90;470000.00;P1;Mexico;2
61;Barbara Las Heras;Acapulco Premier Padel P1;Round of 32;2;45;470000.00;P1;Mexico;1
62;Delfina Bellucci;Acapulco Premier Padel P1;Round of 32;2;45;470000.00;P1;Mexico;1
63;Carla Mesa;Acapulco Premier Padel P1;Round of 32;2;45;470000.00;P1;Mexico;1
64;Virginia Riera;Acapulco Premier Padel P1;Round of 32;2;45;470000.00;P1;Mexico;1
65;Sara Ruiz;Riyadh Season Premier Padel P1;Winner;6;1000;470000.00;P1;Saudi Arabia;6
66;Delfina Brea;Riyadh Season Premier Padel P1;Winner;6;1000;470000.00;P1;Saudi Arabia;6
67;Ariana Sanchez;Riyadh Season Premier Padel P1;Final;6;600;470000.00;P1;Saudi Arabia;5
68;Paula Josemaria;Riyadh Season Premier Padel P1;Final;6;600;470000.00;P1;Saudi Arabia;5
69;Jessica Castello;Riyadh Season Premier Padel P1;Semifinals;5;360;470000.00;P1;Saudi Arabia;4
70;Veronica Virseda;Riyadh Season Premier Padel P1;Semifinals;5;360;470000.00;P1;Saudi Arabia;4
71;Manuela Schuck;Riyadh Season Premier Padel P1;Semifinals;5;360;470000.00;P1;Saudi Arabia;4
72;Carolina Navarro;Riyadh Season Premier Padel P1;Semifinals;5;360;470000.00;P1;Saudi Arabia;4
73;Marta Ortega;Riyadh Season Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Saudi Arabia;3
74;Lucia Sainz;Riyadh Season Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Saudi Arabia;3
75;Bea Gonzalez;Riyadh Season Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Saudi Arabia;3
76;Claudia Fernandez;Riyadh Season Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Saudi Arabia;3
77;Nela Brito;Riyadh Season Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Saudi Arabia;3
78;Lorena Rufo;Riyadh Season Premier Padel P1;Quarterfinals;4;180;470000.00;P1;Saudi Arabia;3
79;Gemma Triay;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
80;Mapi Sanchez Alayeto;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
81;Alejandra Alonso;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
82;Isabel Dominguez;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
83;Alejandra Salazar;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
84;Patricia Llaguno;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
85;Giorgia Marchetti;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
86;Andrea Ustero;Riyadh Season Premier Padel P1;Round of 16;3;90;470000.00;P1;Saudi Arabia;2
87;Ana Catarina Nogueira;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
88;Aranzazu Osoro;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
89;Sofia Araujo;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
90;Noa Canovas;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
91;Eli Amatriain;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
92;Chiara Pappacena;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
93;Delfina Bellucci;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
94;Barbara Las Heras;Riyadh Season Premier Padel P1;Round of 32;2;45;470000.00;P1;Saudi Arabia;1
95;Carolina Orsi;Dubai P1;Winner;6;1000;474500.00;P1;UAE;6
96;Delfina Brea;Dubai P1;Winner;6;1000;474500.00;P1;UAE;6
97;Carolina Navarro;Dubai P1;Final;6;600;474500.00;P1;UAE;5
98;Veronica Virseda;Dubai P1;Final;6;600;474500.00;P1;UAE;5
99;Laura Rodriguez;Dubai P1;Semifinals;5;360;474500.00;P1;UAE;4
100;Sandra Bellver;Dubai P1;Semifinals;5;360;474500.00;P1;UAE;4
101;Silvia Zarza;Dubai P1;Semifinals;5;360;474500.00;P1;UAE;4
102;Valeria Atencia Montes;Dubai P1;Semifinals;5;360;474500.00;P1;UAE;4
103;Chiara Pappacena;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
104;Lucia Perez Parra;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
105;Lorena Vano;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
106;Léa Godallier;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
107;Mariana Zingler Knies;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
108;Marta Marrero;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
109;Emily Stellato;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
110;Lucia Martinez;Dubai P1;Quarterfinals;4;180;474500.00;P1;UAE;3
111;Beatriz Gonzalez Fernandez;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
112;Aranzazu Osoro;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
113;Alejandra Salazar;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
114;Ksenia Sharifova;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
115;Carla Rodriguez Sanchez;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
116;Jessica Castello;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
117;Aranzazu Osoro;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
118;Antonia Reyes Torrejón;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
119;Noa Canovas;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
120;Laia Rodriguez;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
121;Araceli Martinez;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
122;Lucia Sainz Pelegri;Dubai P1;Round of 16;3;90;474500.00;P1;UAE;2
123;Ale Salazar;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
124;Claudia Fernandez;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
125;Charlotte Soubrié;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
126;Giorgia Marchetti;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
127;Alejandra Alonso;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
128;Victoria Iglesias Segura;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
129;Aimee Gibson;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
130;Agata Corti;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
131;Brittany Dubins;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
132;Bea Gonzalez;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
133;Alejandra Salazar;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
134;Esther Carnicero;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
135;Sofia Toro-Moreno rebolledo;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
136;Isabella Curkovic Moran;Dubai P1;Round of 32;2;45;474500.00;P1;UAE;1
137;Mapi Sanchez Alayeto;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
138;Sofia Sanchez;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
139;Carolina Navarro Bjork;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
140;Carla Mesa;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
141;Sara Dambrosio;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
142;Sofia Araujo;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
143;Marta Ortega;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
144;Sofia Saiz;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
145;Elisabet Amatriain;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
146;Patty Llaguno;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
147;Sara Ruiz Soto;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
148;Julieta Bidahorria;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
149;Gemma Triay;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
150;Giulia Sussarello;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
151;Eli Amatriain;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
152;Cata Tenorio;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
153;Gemma Triay;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
154;Sofia Araujo;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
155;Teresa Navarro;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
156;Marta Morga Alonso;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
157;Andres Fernandez Lancha;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
158;Egle Petrauskaite;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
159;Emily Stellato;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
160;Paula Josemaria;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
161;Nuria Rodriguez;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
162;Ariana Sanchez;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
163;Marina Lobo;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
164;Marta Ortega;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
165;Catarina Castro;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
166;Laura Clergue;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
167;Manuela Schuck;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
168;Jessica Castello;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
169;Sara Pujals;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
170;Cecilia Reiter;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
171;Maria Rodriguez;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
172;Audrey Casanova;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
173;Andrea Ustero;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
174;Paula Eyheraguibel;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
175;Virginia Riera;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
176;Ana Fernandez de Osso;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
177;Bea Gonzalez;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
178;Tamara Icardo;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
179;Geraldine Sorel;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
180;Marianne Vandaele;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
181;Miguel Benitez Lara;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
182;Jessica Ginier;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
183;Ana Catarina Nogueira;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
184;Victoria Iglesias;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
185;Icíar Montes;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
186;Alix Collombon;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
187;Antonio Fernandez;Dubai P1;Round of 64;1;22;474500.00;P1;UAE;0
188;Carolina Orsi;Riyadh Season P1;Winner;6;1000;474500.00;P1;Saudi Arabia;6
189;Delfina Brea;Riyadh Season P1;Winner;6;1000;474500.00;P1;Saudi Arabia;6
190;Carolina Navarro;Riyadh Season P1;Semifinals;5;360;474500.00;P1;Saudi Arabia;4
191;Veronica Virseda;Riyadh Season P1;Semifinals;5;360;474500.00;P1;Saudi Arabia;4
192;Sandra Bellver;Riyadh Season P1;Final;6;600;474500.00;P1;Saudi Arabia;5
193;Laura Rodriguez;Riyadh Season P1;Final;6;600;474500.00;P1;Saudi Arabia;5
194;Amelie Feaugas;Riyadh Season P1;Semifinals;5;360;474500.00;P1;Saudi Arabia;4
195;Martina Lombardi;Riyadh Season P1;Semifinals;5;360;474500.00;P1;Saudi Arabia;4
196;Silvia Zarza;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
197;Mariana Zingler Knies;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
198;Emily Stellato;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
199;Lorena Vano;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
200;Léa Godallier;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
201;Lucia Sainz Pelegri;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
202;Chiara Pappacena;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
203;Jessica Castello;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
204;Fiona Ligi;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
205;Carlotta Casali Vannicelli;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
206;Aranzazu Osoro;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
207;Majo Sanchez Alayeto;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
208;Araceli Martinez;Riyadh Season P1;Round of 32;2;45;474500.00;P1;Saudi Arabia;1
209;Noa Canovas;Riyadh Season P1;Round of 32;2;45;474500.00;P1;Saudi Arabia;1
210;Lucia Martinez;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
211;Antonia Reyes Torrejón;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
212;Marta Marrero;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
213;Marta Caparros;Riyadh Season P1;Quarterfinals;4;180;474500.00;P1;Saudi Arabia;3
214;Ale Salazar;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
215;Ksenia Sharifova;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
216;Aranzazu Osoro;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
217;Lucia Perez Parra;Riyadh Season P1;Round of 16;3;90;474500.00;P1;Saudi Arabia;2
218;Isabella Curkovic Moran;Riyadh Season P1;Round of 32;2;45;474500.00;P1;Saudi Arabia;1
219;Sofia Toro-Moreno rebolledo;Riyadh Season P1;Round of 32;2;45;474500.00;P1;Saudi Arabia;1
220;Carolina Orsi;Malaga P1;Winner;6;1000;474500.00;P1;Spain;6
221;Delfina Brea;Malaga P1;Winner;6;1000;474500.00;P1;Spain;6
222;Carolina Navarro;Malaga P1;Final;6;600;474500.00;P1;Spain;5
223;Veronica Virseda;Malaga P1;Final;6;600;474500.00;P1;Spain;5
224;Amelie Feaugas;Malaga P1;Semifinals;5;360;474500.00;P1;Spain;4
225;Martina Lombardi;Malaga P1;Semifinals;5;360;474500.00;P1;Spain;4
226;Lucia Sainz Pelegri;Malaga P1;Semifinals;5;360;474500.00;P1;Spain;4
227;Léa Godallier;Malaga P1;Semifinals;5;360;474500.00;P1;Spain;4
228;Lucia Perez Parra;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
229;Silvia Zarza;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
230;Fiona Ligi;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
231;Carlotta Casali Vannicelli;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
232;Sandra Bellver;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
233;Nuria Rodriguez;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
234;Isabella Curkovic Moran;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
235;Sofia Toro-Moreno rebolledo;Malaga P1;Quarterfinals;4;180;474500.00;P1;Spain;3
236;Chiara Pappacena;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
237;Antonia Reyes Torrejón;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
238;Lucia Martinez;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
239;Araceli Martinez;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
240;Carla Rodriguez Sanchez;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
241;Jessica Castello;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
242;Sara Dambrosio;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
243;Ksenia Sharifova;Malaga P1;Round of 16;3;90;474500.00;P1;Spain;2
244;Aimee Gibson;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
245;Carolina Petrelli;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
246;Egle Petrauskaite;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
247;Isabel Dominguez;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
248;Alejandra Alonso;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
249;Victoria Iglesias Segura;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
250;Beatriz Gonzalez Fernandez;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
251;Aranzazu Osoro;Malaga P1;Round of 32;2;45;474500.00;P1;Spain;1
252;Rebeca Lopez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
253;Carmen Goenaga;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
254;Charlotte Soubrié;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
255;Alix Collombon;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
256;Sara Ruiz Soto;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
257;Line Meites;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
258;Patricia Llaguno;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
259;Marta Talavan;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
260;Giorgia Marchetti;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
261;Marta Marrero;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
262;Elisabet Amatriain;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
263;Claudia Fernandez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
264;Marta Ortega;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
265;Sofia Saiz;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
266;Alonso Rodriguez Martinez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
267;Carmen Garcia Pardo;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
268;Ariana Sanchez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
269;Paula Eyheraguibel;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
270;Esther Carnicero;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
271;Claudia Fernandez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
272;Icíar Montes;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
273;Jessica Ginier;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
274;Victoria Iglesias;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
275;Andrea Ustero;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
276;Delfina Brea;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
277;Majo Sanchez Alayeto;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
278;Marta Morga Alonso;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
279;Beatriz Caldera Sanchez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
280;Raquel Piltcher;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
281;Laura Clergue;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
282;Alejandra Salazar;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
283;Maria Rodriguez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
284;Barbara Las Heras;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
285;Nela Brito;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
286;Marta Porras;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
287;Jimena Velasco;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
288;Bea Gonzalez;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
289;Brittany Dubins;Malaga P1;Round of 64;1;22;474500.00;P1;Spain;0
290;Silvia Zarza;Madrid P1;Winner;6;1000;474500.00;P1;Spain;6
291;Carlotta Casali Vannicelli;Madrid P1;Winner;6;1000;474500.00;P1;Spain;6
292;Carolina Orsi;Madrid P1;Final;6;600;474500.00;P1;Spain;5
293;Delfina Brea;Madrid P1;Final;6;600;474500.00;P1;Spain;5
294;Sandra Bellver;Madrid P1;Semifinals;5;360;474500.00;P1;Spain;4
295;Laura Rodriguez;Madrid P1;Semifinals;5;360;474500.00;P1;Spain;4
296;Carolina Navarro;Madrid P1;Semifinals;5;360;474500.00;P1;Spain;4
